City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,sitka,57.0531,-135.33,15.94,72,20,0.0,US,1722627193
283,broad ripple,39.8667,-86.1417,29.97,72,40,4.63,US,1722627481
284,remire-montjoly,4.9167,-52.2667,27.02,83,75,3.09,GF,1722627482
285,mao,39.8885,4.2658,27.31,83,75,2.06,ES,1722627483
286,kolonia town,6.964,158.206,25.06,100,100,3.09,FM,1722627484
287,solnechnyy,50.7214,136.6319,12.85,88,100,2.55,RU,1722627485
288,talcahuano,-36.7167,-73.1167,12.82,82,100,4.63,CL,1722627486
289,murzuq,25.9155,13.9184,31.44,17,0,2.73,LY,1722627119
290,semikarakorsk,47.5194,40.8112,25.15,51,91,6.34,RU,1722627489
291,san patricio,28.017,-97.5169,34.4,47,57,6.19,US,1722627490
292,santa ana,33.7456,-117.8678,37.11,44,40,3.6,US,1722626851
293,guarapari,-20.6667,-40.4975,23.27,80,34,3.09,BR,1722627492
294,camargo,27.6667,-105.1667,34.82,17,4,5.77,MX,1722627493
295,jastrebarsko,45.6683,15.6486,20.75,100,100,2.32,HR,1722627494
296,stanley,54.868,-1.6985,19.77,78,75,4.63,GB,1722626953
297,i-n-salah,27.1935,2.4607,37.92,8,0,4.92,DZ,1722626999
298,warman,52.3168,-106.5679,31.16,35,40,6.17,CA,1722627497
299,salekhard,66.53,66.6019,16.05,92,99,6.66,RU,1722627499
300,chokwe,-24.5333,32.9833,21.38,51,0,2.95,MZ,1722627500
301,umluj,25.0213,37.2685,33.62,43,5,2.71,SA,1722627501
302,west island,-12.1568,96.8225,26.99,74,75,7.2,CC,1722627502
303,leava,-14.3,-178.1667,27.26,72,8,6.27,WF,1722627503
304,ghanzi,-21.5667,21.7833,17.58,24,0,1.18,BW,1722627504
305,medicine hat,50.0501,-110.6683,31.55,24,100,7.2,CA,1722627001
306,lewistown,40.5992,-77.5714,28.98,83,75,5.14,US,1722627368
307,eydhafushi,5.1033,73.0708,28.37,73,99,4.13,MV,1722627507
308,playa vicente,17.8333,-95.8167,29.06,77,86,2.41,MX,1722627509
309,malango,-2.9627,119.9001,17.12,95,57,1.21,ID,1722627510
310,san agustin de valle fertil,-30.6335,-67.4682,28.92,7,0,15.42,AR,1722627511
311,tura,25.5198,90.2201,23.44,98,100,2.57,IN,1722626936
312,la mira,18.035,-102.3266,30.91,61,100,3.76,MX,1722626991
313,east london,-33.0153,27.9116,15.33,75,4,1.95,ZA,1722627515
314,agapovka,53.2973,59.1348,15.52,85,79,3.17,RU,1722627516
315,cot,9.8945,-83.873,21.08,88,100,1.11,CR,1722627517
316,tralee,52.2704,-9.7026,12.96,78,81,3.28,IE,1722627519
317,emporia,38.4039,-96.1817,34.17,38,0,4.63,US,1722627266
318,aldinga beach,-35.2793,138.4604,9.8,85,91,2.32,AU,1722627521
319,as sulayyil,20.4607,45.5779,38.14,12,100,0.76,SA,1722627522
320,kavieng,-2.5744,150.7967,27.51,81,54,5.24,PG,1722627523
321,alaghsas,17.0187,8.0168,27.96,62,65,4.54,NE,1722627524
322,bolanon,10.9153,123.4736,26.38,82,100,1.72,PH,1722627525
323,cole harbour,44.6724,-63.4751,30.98,45,40,4.63,CA,1722627526
324,rikaze,29.25,88.8833,14.69,52,87,2.32,CN,1722627457
325,kourou,5.1552,-52.6478,27.03,68,71,3.39,GF,1722627529
326,wanning,18.8003,110.3967,26.56,90,17,3.65,CN,1722627530
327,margate,51.3813,1.3862,23.16,65,87,3.61,GB,1722627531
328,rio grande,-32.035,-52.0986,25.06,82,10,7.16,BR,1722627532
329,hammerfest,70.6634,23.6821,16.25,88,40,1.03,NO,1722627533
330,barra de santo antonio,-9.4047,-35.5072,24.6,80,59,6.32,BR,1722627535
331,arkhangel'sk,64.5401,40.5433,17.06,100,40,2.0,RU,1722627536
332,naze,28.3667,129.4833,26.51,85,0,2.74,JP,1722627538
333,kill devil hills,36.0307,-75.676,32.0,80,40,9.26,US,1722627539
334,chernyshevskiy,63.0128,112.4714,8.1,74,22,0.4,RU,1722627540
335,lerwick,60.1545,-1.1494,15.0,93,100,7.17,GB,1722627541
336,sola,-13.8833,167.55,25.8,81,8,4.14,VU,1722627328
337,kittila,67.6647,24.8936,17.08,77,0,5.14,FI,1722627543
338,cumnock,55.4544,-4.2664,16.27,99,100,3.49,GB,1722627544
339,zhalantun,48.0,122.7167,16.04,58,100,1.79,CN,1722627545
340,mossel bay,-34.1831,22.146,7.96,81,3,1.23,ZA,1722627122
341,sutysky,49.0425,28.4173,20.6,58,99,1.06,UA,1722627548
342,chambas,22.1928,-78.9136,27.61,81,100,3.31,CU,1722627549
343,kosh-agach,50.0,88.6667,13.3,59,11,1.35,RU,1722627550
344,cromer,52.9312,1.2989,20.93,64,100,7.15,GB,1722627551
345,villa comaltitlan,15.2167,-92.5833,30.32,73,100,2.58,MX,1722627553
346,acapulco de juarez,16.8634,-99.8901,29.9,66,75,3.09,MX,1722627470
347,rundu,-17.9333,19.7667,18.98,22,0,2.4,NA,1722627555
348,grand falls-windsor,48.9332,-55.6649,11.5,94,100,4.4,CA,1722627557
349,goias,-15.5807,-49.6362,30.31,21,4,2.26,BR,1722627558
350,pangody,65.85,74.4859,18.43,75,62,4.05,RU,1722627559
351,dudinka,69.4058,86.1778,12.54,76,72,3.43,RU,1722627560
352,cleburne,32.3476,-97.3867,38.84,48,57,0.45,US,1722627561
353,les cayes,18.2,-73.75,28.99,73,72,4.71,HT,1722627562
354,lyantor,61.6195,72.1555,18.73,82,81,3.11,RU,1722627563
355,saipan,15.1355,145.701,28.39,78,20,6.17,MP,1722627086
356,kargasok,59.0556,80.8572,17.47,94,60,2.96,RU,1722627565
357,vorkuta,67.5,64.0,16.19,76,18,6.08,RU,1722627567
358,daruvar,45.5906,17.225,20.31,83,60,1.76,HR,1722627568
359,sinop,41.7711,34.8709,16.93,68,0,2.69,TR,1722627569
360,egilsstadir,65.2653,-14.3948,13.95,72,100,1.54,IS,1722627534
361,wamba,8.9333,8.6,22.11,96,64,1.5,NG,1722627571
362,letlhakeng,-24.0944,25.0298,17.59,26,0,1.85,BW,1722627572
363,kshenskiy,51.8408,37.7136,16.19,65,21,1.83,RU,1722627573
364,brookings,44.3114,-96.7984,31.92,56,0,3.09,US,1722627463
365,llanes,43.4198,-4.7549,20.02,86,54,1.2,ES,1722627575
